song_name,release_year,song_duration,song_popularity,live
Under the Boardwalk,2018,167.48,20,FALSE
Mona - I Need You Baby,2018,215.373,19,FALSE
Route 66,2018,160.333,20,FALSE
Honest I Do,2018,130.893,18,FALSE
I'm a King Bee,2018,157.293,19,FALSE
Carol,2018,154.667,18,FALSE
Not Fade Away,2018,108.067,19,FALSE
Walking the Dog,2018,189.173,18,FALSE
Tell Me,2018,159.667,17,FALSE
It''s All over Now,2018,207.52,19,FALSE
